Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
3650;0.110707;0.037733;0.118455;0.039168;0.172132
3660;0.183294;0.458370;0.131169;0.500691;0.158839
3670;0.100926;0.150607;-0.032836;0.273699;-0.020341
3680;0.529512;0.020311;0.176648;0.142853;0.184295
3690;0.285159;0.378456;0.279143;0.462793;0.355668
3700;0.263100;0.141276;-0.030908;0.013053;0.190355
3710;0.258171;0.024185;0.076909;0.169551;0.027554
3720;-0.202112;0.131002;0.024171;0.093378;0.051289
3730;0.191561;-0.080763;0.223766;0.342904;0.001450
3740;-0.009171;0.237696;-0.090342;0.197130;-0.191003
3750;0.214508;-0.263903;0.410054;-0.018865;0.234676
3760;0.300185;0.081710;0.052561;-0.028033;0.666360
3770;0.123405;0.204024;0.162698;0.029503;-0.009667
3780;0.111228;0.159733;0.215299;0.277298;-0.043548
3790;0.195433;0.152803;-0.047866;0.171848;0.298155
3800;0.369043;0.091931;0.027119;0.242870;-0.044034
3810;0.166423;0.067174;-0.131012;0.122235;0.224353
3820;0.298873;0.312640;0.203946;0.127124;0.282428
3830;0.081809;0.187512;0.190811;-0.099584;0.497275
3840;-0.117917;0.224960;0.446261;0.118389;0.512691
3850;-0.236510;0.050603;0.119046;-0.048333;0.370305
3860;-0.218094;0.074415;-0.018830;0.045434;0.217272
3870;0.116770;0.252418;0.477699;0.174033;0.107837
3880;-0.126814;0.226511;-0.037738;-0.021313;-0.115534
3890;0.257736;0.114476;0.090798;0.174051;0.083172
3900;0.157180;0.188714;-0.108261;0.187485;0.280230
3910;0.342123;0.179016;0.132223;0.186248;0.089948
3920;0.170216;-0.089444;0.362877;0.342128;0.323996
3930;-0.083040;0.137363;-0.066685;0.359180;-0.014014
3940;-0.029954;0.072524;0.248657;-0.033892;-0.017451
3950;0.051754;0.210816;0.240614;0.257054;0.316351
3960;-0.162363;-0.009193;0.016416;-0.050264;0.109657
3970;0.155554;0.277856;0.019806;0.133980;0.186411
3980;-0.083661;0.082215;-0.044423;0.078858;0.376635
3990;0.354960;-0.107305;0.305325;0.101874;0.306709
4000;0.049327;-0.072480;0.172922;-0.178123;0.105440
4010;0.254620;0.208404;0.430773;0.471369;0.312641
4020;0.233851;0.040620;0.027537;0.340781;0.259622
4030;0.136485;0.493883;-0.003868;0.128484;0.078245
4040;-0.162997;0.258084;0.036789;0.158092;-0.021769
4050;0.093362;0.248537;0.218377;0.036729;0.295795
4060;0.368149;-0.156120;0.081220;0.303371;0.269084
4070;0.050241;0.034721;-0.060448;0.320240;-0.085599
4080;0.348857;0.278419;-0.124656;0.096200;0.339771
4090;-0.196177;0.332636;-0.045444;0.079708;0.306296
4100;-0.041087;0.111812;0.380269;0.217740;0.144115
4110;0.417448;0.110586;0.301832;0.204105;0.220658
4120;0.144079;0.156134;0.294696;0.219517;0.050207
4130;-0.013552;0.441155;-0.001933;0.113617;0.179838
4140;0.011601;0.369297;-0.192945;0.073382;-0.015489
4150;0.205505;0.343318;0.342714;0.496203;0.145490
4160;0.157605;0.017893;0.067116;0.092484;0.490784
4170;0.341012;0.289566;0.222207;-0.297258;-0.140266
4180;0.097686;-0.233062;0.444899;-0.049694;0.178039
4190;0.408521;0.168635;0.028036;0.315866;0.138100
4200;0.319197;-0.148802;0.322426;0.217579;0.183903
4210;0.250256;0.127680;-0.022225;0.139523;0.134983
4220;0.294194;-0.082677;0.221507;0.149211;0.103460
4230;0.210429;-0.030517;-0.160997;0.071578;0.202922
4240;0.242072;0.144619;0.145498;0.248622;0.079400
4250;0.523461;0.353847;0.204759;0.168496;0.342547
4260;0.153551;0.238829;0.047922;0.145485;0.051303
4270;0.124678;0.234261;0.002906;0.209694;0.153666
4280;0.467237;-0.069553;-0.125583;0.225659;0.221924
4290;0.357278;-0.037254;-0.046437;0.087217;0.072987
4300;-0.053569;0.006774;-0.405426;0.581670;0.427840
4310;0.212332;0.144832;0.054175;0.239611;0.237990
4320;-0.035793;0.007718;0.134747;-0.266815;-0.003380
4330;0.009169;0.107336;-0.124233;0.241616;0.551713
4340;0.127687;-0.002903;0.095144;0.073600;0.142751
4350;0.260811;-0.172758;0.291322;-0.160859;-0.068128
4360;0.322550;0.283543;0.332796;0.065798;0.297222
4370;0.041544;0.130606;0.267573;0.014976;0.400982
4380;0.087567;0.268861;-0.043958;0.105342;0.187077
4390;0.300041;-0.005798;-0.034810;-0.176111;0.094736
4400;0.173352;0.111786;0.240533;-0.005323;0.225149
4410;0.078339;-0.202896;-0.213376;0.301204;0.024681
4420;-0.094189;0.028096;0.250105;0.047393;-0.179223
4430;-0.305998;0.517234;-0.384514;-0.030959;0.145272
4440;0.084626;0.136428;-0.094706;0.241634;0.446045
4450;-0.277649;0.317022;-0.098120;-0.000000;0.196052
