Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
4420;4.025925;3.632282;3.461773
4430;3.641443;4.040417;4.111188
4440;4.054629;4.191439;3.549504
4450;4.240371;4.050569;3.960107
4460;4.141066;4.049366;4.191256
4470;3.554713;3.946464;4.125107
4480;3.962863;3.780855;3.640600
4490;4.033835;3.821008;4.187804
4500;3.889352;3.806975;3.987373
4510;3.769185;3.702889;4.272650
4520;3.890830;3.850592;3.714911
4530;3.838088;3.603466;4.151528
4540;3.723459;3.855515;4.036031
4550;3.752179;3.739931;3.980759
4560;4.204967;3.329610;4.387677
4570;3.923956;3.753959;3.971540
4580;3.673283;4.063955;3.850334
4590;4.255938;4.339697;3.939452
4600;4.044628;3.856504;3.603489
4610;4.042270;3.797189;4.056180
4620;4.420622;3.747187;3.994223
4630;3.716158;3.931258;3.966382
4640;3.878850;4.108574;3.561136
4650;4.077774;3.938808;3.679388
4660;4.096143;4.099932;3.963723
4670;3.762682;3.506794;4.121365
4680;4.235168;4.004225;4.073634
4690;3.458664;3.890929;3.823959
4700;3.993339;3.740963;3.868382
4710;3.721853;3.834382;3.402030
4720;3.884959;4.129351;3.892394
4730;3.831790;3.606768;4.331560
4740;4.206639;3.959038;3.716251
4750;3.957912;4.130760;3.623134
4760;3.852916;3.858638;3.571542
4770;4.077240;3.881902;3.648142
4780;3.799881;4.169803;3.365206
4790;3.552383;3.723357;3.775606
4800;3.775761;3.497331;3.946872
4810;3.871153;3.858224;4.066704
4820;3.867123;3.749550;3.892456
4830;4.116990;4.032002;3.652970
4840;3.744572;4.201943;3.771801
4850;3.738212;3.897532;4.424247
4860;3.843895;4.026641;4.207038
4870;3.966099;4.084101;3.429123
4880;4.180379;4.324077;3.337832
4890;3.480955;3.908154;3.826664
4900;3.995114;3.678974;4.027049
4910;3.623794;4.160275;4.055189
4920;3.593434;3.960694;4.446972
4930;4.389816;3.788118;3.548569
4940;4.496739;3.678559;3.555354
4950;4.110776;3.956338;3.789753
4960;3.604023;4.157175;4.306746
4970;3.571108;4.020434;3.828463
4980;4.245404;3.822715;3.839253
4990;3.850949;4.398531;4.006201
5000;3.704143;3.807588;3.749379
