Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2990;1.778017;1.991113;2.091625;1.939881;2.031949
3000;1.912311;2.270908;2.021193;2.097923;2.266025
3010;2.055866;2.260583;1.849343;2.250539;1.991235
3020;1.841935;2.120464;1.939396;1.676528;2.083585
3030;1.767285;1.794301;1.686601;1.816673;2.109214
3040;1.880298;2.065472;1.859097;1.481914;2.008493
3050;2.089291;1.938977;2.150278;1.843393;1.870754
3060;1.797371;1.746349;2.193032;1.892745;1.803153
3070;1.968842;1.949480;2.030396;1.712208;1.979730
3080;2.071187;2.071019;1.986376;2.120153;2.176457
3090;1.610140;1.914596;1.713518;1.792979;2.127319
3100;2.242414;1.912016;2.044028;1.924456;2.264839
3110;1.907268;2.230626;2.106172;2.124403;2.180781
3120;1.835085;2.241332;1.958151;1.908209;1.887888
3130;2.019109;2.320605;2.168990;1.997682;1.817283
3140;1.994285;2.079397;2.045679;1.829382;2.015409
3150;2.184728;1.723120;1.692367;1.785927;1.850977
3160;2.084438;2.165692;1.974919;2.099729;1.671891
3170;1.875702;1.980074;1.877351;2.030566;2.020465
3180;2.122392;1.971761;1.805563;2.160530;1.865247
3190;1.885489;1.848987;1.541701;1.529218;1.771783
3200;1.823471;1.887857;2.222675;2.430121;2.015056
3210;2.213086;2.236571;2.371721;1.893050;1.667869
3220;1.852418;1.852374;2.089374;1.939805;1.849224
3230;1.974980;2.091884;2.135796;1.711972;1.867668
3240;2.131731;2.136885;1.728573;2.164633;2.084325
3250;1.852315;1.932380;1.878644;1.554871;2.160286
3260;2.141755;1.933729;1.978450;1.874314;2.088579
3270;1.917350;1.794591;2.094172;1.903094;1.880200
3280;1.854930;1.711874;1.890651;2.081145;1.823502
3290;1.936604;1.679982;1.757734;1.976161;2.180995
3300;2.013540;1.810175;1.933829;1.676361;2.291460
3310;2.109763;1.819432;1.996423;1.757509;1.952546
3320;1.934469;2.242322;1.668762;2.195261;1.767848
3330;2.183018;1.894028;1.933965;1.900527;2.029853
3340;2.231653;2.004564;2.115308;2.009368;2.087100
3350;2.165211;1.918077;1.745583;2.123114;1.842455
3360;2.179956;1.681472;2.081851;1.714011;1.991276
3370;1.755364;2.160159;1.763254;2.015731;1.745703
3380;1.784219;1.821620;1.932824;2.236111;1.680926
3390;2.266249;2.127448;1.812583;1.778405;1.802065
3400;2.077585;1.860732;2.213895;2.053980;1.841946
3410;2.045931;2.063411;1.990503;1.819623;2.274019
3420;2.269530;1.694615;2.199110;1.537784;1.951130
