Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
4790;3.820786;3.411490;3.613036
4800;3.482786;3.844871;3.774280
4810;3.578030;3.825337;3.740344
4820;3.706103;3.359541;3.503591
4830;3.619940;3.643077;3.667318
4840;3.676355;3.893068;3.580702
4850;3.693181;3.698189;3.648517
4860;3.591591;3.533172;3.324360
4870;3.660562;3.652162;3.659471
4880;3.678242;3.720487;3.599256
4890;3.672787;3.555017;3.385508
4900;3.667260;3.750406;4.027860
4910;3.687951;3.692996;3.626153
4920;3.387529;3.471397;3.634872
4930;3.742351;3.805451;3.364359
4940;3.709324;3.572145;3.365615
4950;3.661095;3.496603;3.844502
4960;3.648809;3.331698;3.707698
4970;3.650543;3.625651;3.521630
4980;3.653730;3.607299;3.639000
4990;3.605199;3.643681;3.692706
5000;3.950303;3.433215;3.603379
5010;3.883196;3.380333;3.691481
5020;3.631930;3.711400;3.405018
5030;3.413302;3.631103;3.727136
5040;3.869182;3.582946;3.438117
5050;3.746425;3.606839;3.526468
5060;3.807486;3.550111;3.696138
5070;3.951434;3.479428;3.863891
5080;3.509331;3.653807;3.772251
5090;3.500140;3.657842;3.800640
5100;3.578154;3.505510;3.434248
5110;3.494597;3.823962;3.657552
5120;3.648593;3.609073;3.423407
5130;3.654317;4.134410;3.549925
5140;3.341495;3.635121;3.774438
5150;3.660434;3.459232;3.590033
5160;3.371424;3.709003;3.881278
5170;3.581965;3.734578;3.457259
5180;3.415320;3.590391;3.551803
5190;3.631397;3.679965;3.595245
5200;3.622057;3.674621;3.632886
5210;3.565728;3.756871;3.646193
5220;3.771831;3.480609;3.644221
5230;3.677349;3.570633;3.941023
5240;3.419364;3.835152;3.634426
5250;3.580992;3.656685;3.583400
5260;3.709507;3.467495;3.624024
5270;3.769527;3.747379;3.471438
5280;3.519877;3.432404;3.594163
5290;3.683936;3.536168;3.680056
5300;3.573054;3.270297;3.701197
5310;3.879887;3.592366;3.438618
5320;3.535422;3.452741;3.542299
5330;3.585921;3.610279;3.797302
5340;3.654732;3.555416;3.451284
5350;3.395721;3.622690;4.022026
5360;3.429781;3.734870;3.691216
5370;3.747661;3.763665;3.682461
5380;3.465079;3.571297;3.462021
5390;3.557519;3.564824;3.286004
5400;3.500418;3.485958;3.172581
5410;3.455157;3.461738;3.408737
5420;3.520307;3.565624;3.268436
5430;3.143611;3.644713;3.504198
5440;3.813968;3.476713;3.502450
5450;3.640821;3.638591;3.809123
5460;3.684509;3.480756;3.780995
5470;3.609098;3.301036;3.630884
5480;3.521537;3.386919;4.044732
5490;3.492605;3.522937;3.406551
5500;3.552402;3.613994;3.289355
5510;3.809643;3.472667;3.511175
5520;3.521081;3.557260;3.751148
5530;3.467223;3.671253;4.031613
5540;3.755679;3.383086;3.649339
5550;3.461689;3.300885;3.861256
5560;3.587549;3.387974;3.652530
5570;3.733288;3.700059;3.773898
5580;3.417390;3.477673;3.547244
5590;3.502506;3.749877;3.706068
5600;3.764020;3.799000;3.793827
5610;3.815791;3.535062;3.471899
5620;3.727661;3.444473;3.709020
5630;3.749969;3.621233;3.619966
5640;3.560872;3.550430;3.955592
5650;3.429130;3.778739;3.284410
5660;3.579379;3.327255;3.462145
5670;3.288719;3.640423;3.550561
5680;3.471135;3.439435;3.606347
5690;3.384851;3.839496;3.515878
5700;3.441707;3.562529;3.542059
5710;3.619579;3.470598;3.416476
5720;3.591563;3.682915;3.695649
5730;3.602361;3.804459;3.479597
5740;3.188831;3.436352;3.424265
5750;3.387445;3.465743;3.392681
5760;3.701399;3.497886;3.715525
5770;3.763003;3.410669;3.414054
5780;3.543644;3.358648;3.780719
5790;3.685497;3.497818;3.614779
5800;3.749867;3.599106;3.636247
5810;3.560282;3.235329;3.565253
5820;3.395632;3.457869;3.674414
5830;3.462623;3.647258;3.446016
5840;3.444213;3.626072;3.629077
5850;3.584635;3.293101;3.765320
5860;3.569342;3.395042;3.623579
5870;3.521821;3.422996;3.291145
5880;3.705420;3.432200;3.651566
5890;3.635369;3.799621;3.738681
5900;3.295856;3.595020;3.850458
5910;3.497882;3.377228;3.278569
5920;3.667863;3.450525;3.809210
5930;3.357620;3.771179;3.290688
5940;3.425309;3.378534;3.651780
5950;3.679536;3.452038;3.641499
5960;3.494181;3.486938;3.510858
5970;3.291234;3.322578;3.434326
5980;3.677989;3.365064;3.432997
5990;3.712551;3.505392;3.569033
6000;3.458302;3.747371;3.423299
